2011-06-17 10:57:53 Debug: Notice (8): Undefined property: File::$table in [C:\Documents and Settings\Administrator\asset_management\cake\libs\model\model.php, line 666]
2011-06-20 06:12:01 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:12:04 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:12:07 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:13:14 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:13:18 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:13:21 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:13:24 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:13:27 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:15:39 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:16:50 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:19:54 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:26:12 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:29:36 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:29:41 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:29:44 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:29:48 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:30:35 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:30:49 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:30:52 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:30:58 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:31:01 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:31:04 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:31:07 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:53:18 Debug: Notice (8): Undefined property: ItemsController::$Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 166]
2011-06-20 06:53:45 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 170]
2011-06-20 06:54:41 Debug: Notice (8): Undefined index: removeFile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:54:58 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 170]
2011-06-20 06:55:43 Debug: Notice (8): Undefined index: removeFile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:59:12 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 170]
2011-06-20 06:59:36 Debug: Notice (8): Undefined index: removeFile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 07:04:39 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 172]
2011-06-20 07:09:14 Debug: Notice (8): Undefined property: View::$html in [C:\Documents and Settings\Administrator\asset_management\app\views\items\view.ctp, line 57]
2011-06-20 07:16:00 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 172]
2011-06-23 06:57:37 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 172]
2011-06-25 05:29:13 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 117]
2011-06-25 05:34:37 Debug: Notice (8): Undefined variable: items in [C:\Documents and Settings\Administrator\asset_management\app\views\items\search.ctp, line 10]
